model,regime,n,pos,median_s,p10_s,p90_s,tok_s,x_decode,mean_distinct_experts,gbps
build/synth-30b-q8,decode,1,512,0.048500,0.048165,0.048616,20.62,1.000,8.00,71.55
build/synth-30b-q8,verify,2,512,0.049915,0.049429,0.050161,40.07,1.029,8.67,0.00
build/synth-30b-q8,verify,4,512,0.050605,0.050445,0.050893,79.04,1.043,9.21,0.00
build/synth-30b-q8,verify,8,512,0.053290,0.053100,0.053550,150.12,1.099,9.92,0.00
build/synth-30b-q8,verify,16,512,0.068290,0.067972,0.068462,234.29,1.408,10.81,0.00
build/synth-30b-q8,verify,32,512,0.090390,0.089703,0.090799,354.02,1.864,11.71,0.00
