sweep,kernel,M,N,K,tiles,count,gpu_median_s,gpu_p10_s,gpu_p90_s,wall_median_s,gpu_per_dispatch_s,wall_per_dispatch_s,max_rel_vs_32x32
tiny,tensor,1,32,32,1,1,0.000003500,0.000003375,0.000003583,0.000148058,0.000003500,0.000148058,0
tiny,tensor,1,32,32,1,4,0.000007542,0.000007417,0.000007667,0.000149965,0.000001885,0.000037491,0
tiny,tensor,1,32,32,1,16,0.000024750,0.000024375,0.000025000,0.000178099,0.000001547,0.000011131,0
tiny,tensor,1,32,32,1,64,0.000092042,0.000091208,0.000092208,0.000257969,0.000001438,0.000004031,0
tiny,tensor,1,32,32,1,256,0.000361750,0.000359250,0.000365750,0.000540018,0.000001413,0.000002109,0
tiny,tensor,1,32,32,1,1024,0.001443875,0.001438125,0.001448875,0.001688957,0.000001410,0.000001649,0
fanout,tensor,1,32,2048,1,64,0.001732583,0.001731125,0.001734708,0.001901984,0.000027072,0.000029719,0
fanout,tensor,1,64,2048,2,64,0.001735375,0.001734417,0.001737500,0.001883030,0.000027115,0.000029422,0
fanout,tensor,1,128,2048,4,64,0.001751167,0.001750792,0.001751625,0.001897097,0.000027362,0.000029642,0
fanout,tensor,1,256,2048,8,64,0.001764042,0.001763375,0.001765417,0.001913071,0.000027563,0.000029892,0
fanout,tensor,1,512,2048,16,64,0.001763208,0.001762333,0.001764042,0.001909018,0.000027550,0.000029828,0
fanout,tensor,1,1024,2048,32,64,0.002191375,0.002189917,0.002194000,0.002339959,0.000034240,0.000036562,0
fanout,tensor,1,2048,2048,64,64,0.003452958,0.003450125,0.003456042,0.003603101,0.000053952,0.000056298,0
fanout,tensor,1,4096,2048,128,64,0.005540000,0.005535750,0.005541833,0.005728960,0.000086562,0.000089515,0
tilework,tensor,1,32,32,1,64,0.000093292,0.000093000,0.000093625,0.000259995,0.000001458,0.000004062,0
tilework,tensor,1,32,128,1,64,0.000172500,0.000172167,0.000173208,0.000324011,0.000002695,0.000005063,0
tilework,tensor,1,32,512,1,64,0.000486292,0.000485417,0.000486750,0.000629067,0.000007598,0.000009829,0
tilework,tensor,1,32,2048,1,64,0.001734792,0.001733792,0.001735458,0.001881957,0.000027106,0.000029406,0
tilework,tensor,1,32,8192,1,64,0.006730000,0.006726583,0.006731458,0.006907940,0.000105156,0.000107937,0
rows,tensor,1,768,2048,24,64,0.001979083,0.001977417,0.001982250,0.002137899,0.000030923,0.000033405,0
rows,tensor,2,768,2048,24,64,0.001983417,0.001980792,0.001985750,0.002146959,0.000030991,0.000033546,0
rows,tensor,4,768,2048,24,64,0.001979042,0.001977625,0.001980667,0.002150059,0.000030923,0.000033595,0
rows,tensor,8,768,2048,24,64,0.001984500,0.001982750,0.001986667,0.002153993,0.000031008,0.000033656,0
rows,tensor,16,768,2048,24,64,0.001987375,0.001985792,0.001988375,0.002143025,0.000031053,0.000033485,0
rows,tensor,32,768,2048,24,64,0.001806375,0.001801417,0.001813083,0.001955032,0.000028225,0.000030547,0
tileshape,tensor,1,3072,1024,96,64,0.002055583,0.002052833,0.002064333,0.002212048,0.000032118,0.000034563,0
tileshape,tensorops_8x16,1,3072,1024,192,64,0.001292917,0.001290750,0.001297417,0.001452088,0.000020202,0.000022689,0
tileshape,tensorops_8x32,1,3072,1024,96,64,0.001255000,0.001254375,0.001256042,0.001402974,0.000019609,0.000021921,0
tileshape,tensorops_8x64,1,3072,1024,48,64,0.001324083,0.001321500,0.001327458,0.001485944,0.000020689,0.000023218,0
tileshape,tensorops_16x32,1,3072,1024,96,64,0.001256125,0.001251167,0.001261292,0.001406074,0.000019627,0.000021970,0
tileshape,tensorops_8x256,1,3072,1024,12,64,0.002253000,0.002252000,0.002260500,0.002406955,0.000035203,0.000037609,0
tileshape,tensorops_t1x32,1,3072,1024,96,64,0.007199375,0.007175833,0.007218875,0.007386088,0.000112490,0.000115408,0
tileshape,tensor,1,768,2048,24,64,0.001982000,0.001980042,0.001983125,0.002151966,0.000030969,0.000033624,0
tileshape,tensorops_8x16,1,768,2048,48,64,0.001317000,0.001316375,0.001317292,0.001465917,0.000020578,0.000022905,0
tileshape,tensorops_8x32,1,768,2048,24,64,0.001266250,0.001265583,0.001266625,0.001420021,0.000019785,0.000022188,0
tileshape,tensorops_8x64,1,768,2048,12,64,0.001482333,0.001481833,0.001483083,0.001630902,0.000023161,0.000025483,0
tileshape,tensorops_16x32,1,768,2048,24,64,0.001444583,0.001443500,0.001445083,0.001591921,0.000022572,0.000024874,0
tileshape,tensorops_8x256,1,768,2048,3,64,0.003951792,0.003947375,0.003961917,0.004107952,0.000061747,0.000064187,0
tileshape,tensorops_t1x32,1,768,2048,24,64,0.011601625,0.011597292,0.011611500,0.011811972,0.000181275,0.000184562,0
tileshape,tensor,8,768,2048,24,64,0.001974750,0.001972958,0.001977250,0.002140045,0.000030855,0.000033438,0
tileshape,tensorops_8x16,8,768,2048,48,64,0.001410292,0.001409625,0.001410667,0.001556039,0.000022036,0.000024313,0
tileshape,tensorops_8x32,8,768,2048,24,64,0.000884375,0.000883208,0.000887625,0.001043081,0.000013818,0.000016298,0
tileshape,tensorops_8x64,8,768,2048,12,64,0.001052125,0.001051625,0.001052667,0.001201987,0.000016439,0.000018781,0
tileshape,tensorops_16x32,8,768,2048,24,64,0.001502500,0.001501375,0.001503583,0.001652002,0.000023477,0.000025813,0
tileshape,tensorops_8x256,8,768,2048,3,64,0.002764750,0.002762500,0.002771542,0.002912998,0.000043199,0.000045516,0
tileshape,tensorops_t1x32,8,768,2048,192,64,0.021609750,0.021401625,0.021948042,0.021878958,0.000337652,0.000341859,0
tileshape,tensor,32,3072,1024,96,64,0.002053792,0.002049292,0.002060125,0.002219081,0.000032090,0.000034673,0
tileshape,tensorops_8x16,32,3072,1024,768,64,0.002526625,0.002522500,0.002532375,0.002675056,0.000039479,0.000041798,0
tileshape,tensorops_8x32,32,3072,1024,384,64,0.002037000,0.002036250,0.002037625,0.002191067,0.000031828,0.000034235,0
tileshape,tensorops_8x64,32,3072,1024,192,64,0.002009250,0.002008042,0.002012375,0.002164006,0.000031395,0.000033813,0
tileshape,tensorops_16x32,32,3072,1024,192,64,0.002016750,0.002011375,0.002021875,0.002166986,0.000031512,0.000033859,0
tileshape,tensorops_8x256,32,3072,1024,48,64,0.002776250,0.002772208,0.002782833,0.002930045,0.000043379,0.000045782,0
tileshape,tensorops_t1x32,32,3072,1024,3072,64,0.116668125,0.115689000,0.117696083,0.116895914,0.001822939,0.001826499,0
