model,regime,n,pos,median_s,p10_s,p90_s,tok_s,weight_gb,kv_gb,gbps,pct_of_307
models/Qwen3-0.6B [bf16 tile 32x32],prefill,512,0,0.114057,0.113975,0.114098,4488.99,1.1921,0.0000,0.00,0.00
models/Qwen3-0.6B [bf16 tile 32x32],decode,1,512,0.014350,0.014340,0.014370,69.69,1.1921,0.1177,91.27,29.73
models/Qwen3-0.6B [bf16 tile 32x32],verify32,32,512,0.020328,0.020300,0.020346,1574.21,1.1921,0.0000,0.00,0.00
models/Qwen3-0.6B [bf16 tile 8x32 for M<=8],prefill,512,0,0.114023,0.113971,0.114086,4490.33,1.1921,0.0000,0.00,0.00
models/Qwen3-0.6B [bf16 tile 8x32 for M<=8],decode,1,512,0.013172,0.013164,0.013222,75.92,1.1921,0.1177,99.44,32.39
models/Qwen3-0.6B [bf16 tile 8x32 for M<=8],verify32,32,512,0.020356,0.020338,0.020373,1572.01,1.1921,0.0000,0.00,0.00
