model,attention,regime,n,pos,group,median_s,p10_s,p90_s
models/Qwen3-0.6B,split,verify32,32,512,rmsnorm,0.000235912,0.000233708,0.000254079
models/Qwen3-0.6B,barriers,verify32,32,512,attn proj (q k v o),0.003484168,0.003440792,0.003639413
models/Qwen3-0.6B,split,verify32,32,512,attn proj (q k v o),0.003551623,0.003508002,0.003668582
models/Qwen3-0.6B,barriers,verify32,32,512,qk-norm + rope,0.000212088,0.000211167,0.000217835
models/Qwen3-0.6B,split,verify32,32,512,qk-norm + rope,0.000212748,0.000211586,0.000224876
models/Qwen3-0.6B,barriers,verify32,32,512,attention,0.011176338,0.011104129,0.011339043
models/Qwen3-0.6B,split,verify32,32,512,attention,0.012888377,0.012836334,0.012936169
models/Qwen3-0.6B,barriers,verify32,32,512,mlp proj (gate up down),0.004279254,0.004203917,0.004412750
models/Qwen3-0.6B,split,verify32,32,512,mlp proj (gate up down),0.004331290,0.004273337,0.004456043
models/Qwen3-0.6B,barriers,verify32,32,512,elementwise (swiglu, residual, narrow),0.000284663,0.000270958,0.000375833
models/Qwen3-0.6B,split,verify32,32,512,elementwise (swiglu, residual, narrow),0.000288905,0.000279204,0.000373961
models/Qwen3-0.6B,barriers,verify32,32,512,lm head,0.001661042,0.001626833,0.001733750
models/Qwen3-0.6B,split,verify32,32,512,lm head,0.001656459,0.001626791,0.001703375
models/Qwen3-0.6B,barriers,verify32,32,512,TOTAL, cut into encoders,0.022361083,0.021929750,0.022593542
models/Qwen3-0.6B,split,verify32,32,512,TOTAL, cut into encoders,0.024055250,0.023839125,0.024298500
models/Qwen3-0.6B,barriers,verify32,32,512,TOTAL, uncut,0.021036875,0.020862750,0.021342083
models/Qwen3-0.6B,split,verify32,32,512,TOTAL, uncut,0.022823833,0.022585875,0.023168500
